recruit_id,name,year,intent,height,weight,entry_tier
44d32fda-5bbf-43d8-928e-22300e6ebb51,Mike Parsons,SO,C,79,230,Good
0d26e8a0-0439-43a5-98fc-fcd1264aac08,Sanford Hahn,SO,PF,73,184,Great
7a966321-ec31-4088-98f0-3c1e31dd741e,Jett Durham,SO,C,78,224,Great
5a41a309-abbe-40d1-98f9-943f17dfd00b,Denzel Ramirez,JR,PF,74,181,Great
29f3b71e-aa6a-4c5b-9476-24943a567304,Thad Elliott,JH,C,74,202,Good
88ba1a0b-f0dc-4837-a36d-bdaf4b101897,Monte Christian,JR,PF,78,222,Poor
7010bd01-e0f6-4ed7-a0aa-3c6f325f6789,Johnpaul Heath,JH,C,79,218,Average
c1de4dda-395f-4eea-9408-c06c586fb9f3,Wilbur Acosta,FR,PF,80,231,Average
6253bd6a-b736-4bc8-8bc3-d50f36fcf9a0,Ahmed Martin,JR,C,80,225,BelowAverage
ccf70e78-b19f-47d5-a8cc-611bd4d7af45,Vince Hester,JH,PF,76,202,Average
abcdc858-2676-446a-9731-ce47b8ed5701,Rhett Bean,JH,C,80,216,BelowAverage
ab14fe7e-4138-4db4-8c60-1c318464b8da,Miguel Lindsey,JR,PF,75,208,Average
4bcc7834-1a27-4316-acd5-c0730b6d0ead,Joziah Morse,JR,C,79,231,Great
6df4ce7c-bf65-44df-a54c-adc95ec895a6,Canaan Zamora,JH,PF,78,205,Average
10ffe388-7f15-473f-9b9c-3de76089e56e,Chandler Mcdonald,JH,C,71,178,BelowAverage
2b379e72-2f69-414d-b95a-221a16d83827,Kylan Welch,SO,PF,79,232,Average
d2521f2b-f4e4-471a-833a-87f960fe1aac,Gail Hendricks,JR,C,79,209,Good
14de2860-2616-42b6-90ff-72103b5aa63c,Farrell Grant,JH,PF,73,181,Average
e32fb40c-c21f-4fb8-81ab-4798927dba85,Casimir Mathis,JH,C,78,204,Average
b7129cd1-3459-4dce-893a-637d05edfab7,Heriberto Oliver,JH,PF,73,192,Average
00eafe09-a066-49df-b11b-2832a1f073e7,Davian Eaton,JH,C,76,206,Average
6caf06c5-e4b6-4ef8-a290-36c5f0e60032,Archer Blake,JR,PF,81,226,BelowAverage
a5b0c557-7287-4b3a-91b2-d7aa8f8b17d7,Ross Montes,JH,C,72,179,Good
d1d101eb-285b-414f-b3da-7c31a4ec81b6,Brody Lawson,JH,PF,70,180,BelowAverage
59af85b8-3b60-4e8d-80fc-a474be55d502,Garth Eaton,JH,C,82,248,BelowAverage
d7bfc592-c400-4e76-ba94-77cb0481eebe,Frank Orr,SO,PF,82,233,Elite
ebd415a5-7cc4-4bc7-845f-8803af378c73,Sidney Hopkins,JH,C,72,184,BelowAverage
29f95b8c-4f0c-48c2-bc42-85c417a790b0,Jacoby Gonzales,JR,PF,78,222,Great
2e2bcd9a-bc0e-4a47-a82b-52582e158731,Merrick Chapman,JH,C,77,203,Average
d7eac24a-cb2a-439c-8775-146a6d037559,Zev Solomon,JH,PF,75,209,Average
30798443-b6a7-463c-8759-86435153fc1e,Virgil Gallegos,JR,C,78,223,Average
7c83227e-f237-4622-9515-f1513875a6b8,Tyrone Waters,JR,PF,75,201,Average
246c98bc-cd09-4923-99e6-77ecad1ea9ce,Jacques Chen,JH,C,75,190,BelowAverage
62567c0c-8b9c-44ac-a56b-17ddc8c54e4b,Eli Robinson,JH,PF,78,223,Average
f658de1b-db48-4233-b826-ce66da0a6794,Kai Keller,SO,C,80,216,Good
93b46396-c04d-49ee-b858-dbd2d06680e1,Solomon Flynn,JH,PF,75,209,BelowAverage
be343097-9231-42f9-8a72-272b14274bdb,Bjorn Roberson,JH,C,76,213,Good
675baf89-f9ae-4626-97a9-8f819cb0c6df,Salvador Cooper,JR,PF,77,203,Poor
9e29a074-6279-41e5-ad9b-0350b6d68f97,Jessy Murillo,FR,C,77,211,Average
b1c4320e-bcca-489f-8a17-649f3cb3a6b7,Jasiah Burgess,FR,PF,74,205,BelowAverage
ee69829a-2f2d-40ef-9f4c-807b13bdde9b,Coen Richards,SO,C,80,221,Average
fca74b0e-2752-418a-b5f9-3bde7ed292f1,Bryan Martinez,JH,PF,78,212,Great
efef5a43-3771-4949-ad8f-250d06c5fabd,Alvis Henson,JH,C,77,215,BelowAverage
fcd03323-654c-470b-96fd-079d5dd1f803,Lester Pope,JH,PF,73,178,Poor
8eb5aafa-a51a-4c60-9a83-4b128004ffe2,Kip Savage,SO,C,81,240,BelowAverage
4e22e519-d1b3-4ffb-b4fd-16083e97d0f8,Gary Bond,JH,PF,77,214,Average
b8e3f938-a942-4dc7-9200-7d672abf8ae6,Kristopher Schwartz,SO,C,79,211,Poor
dd955c59-9c86-49d1-9f67-c2005858c3cb,Fred Moore,FR,PF,71,184,Average
85290c14-e3f6-41a3-b69a-0c32b3ffd2f3,Percy Potts,FR,C,82,236,Average
0f035970-a16a-45cb-a78a-8d5979d525bf,Addison Ramirez,JH,PF,71,171,Average
d5aa979b-ab3e-4e8f-b5ec-ef29444aae0e,Daniel Mccoy,FR,C,78,218,Average
860b8c2f-5bbe-4b04-81ce-b89e3cbb53e4,Delmer Flores,JH,PF,74,191,Average
8587cae9-7996-476b-a4c2-aa6a4c4ac4e1,Clark Ball,FR,C,76,208,Average
5f5ff13d-9707-4cc1-907d-915436546f10,Benito Ali,JH,SF,75,209,BelowAverage
db4684f4-2da5-4ce3-823b-f6a40259f896,Nathanial Hicks,FR,PF,81,232,Average
4a444c35-1847-4b3b-9d61-d1a7700a34c4,Atlas Gonzalez,JH,C,78,221,BelowAverage
0a1395cc-80aa-4a0c-9c55-3b8868e36f2e,Kyrie Conner,JR,SF,72,190,Average
0b5ab9d1-b96a-4b21-b19d-4a701e0dc1af,Arthur Matthews,FR,PF,76,202,BelowAverage
9c736a43-b267-4ca5-a1c6-305f0d893fd1,Morris Avila,JH,C,74,192,Average
3b049fab-700c-430b-a98a-e27d50f03b53,Anderson Franco,JH,SF,70,167,Great
f9bbdf45-dc8a-4729-acdf-39a2cbdd336b,Aryan Gallagher,JH,PF,74,188,BelowAverage
eddfa213-21ad-440f-a6c0-db06d1e09217,Curtis Rogers,JR,C,78,223,Average
24922507-5592-4585-b81a-0621074eb572,Phil Hudson,FR,SF,68,169,Great
e352ef7a-e876-4f15-9a86-6a9e036db09a,Dayton Boyle,JH,PF,79,227,Average
d57ade7f-0e0d-4c9e-bf5e-ce294ff05bf9,Noel Molina,FR,C,78,219,Average
d7d5e781-073b-47c7-8e75-3041b8da2742,Princeton Proctor,JH,SF,71,187,BelowAverage
0248a3bc-b58a-41ee-8ec3-9f82e62a0325,Leonel Hart,JH,PF,73,187,Average
2531dc0d-30b9-4fd5-ac8d-3047cc339e3f,Braeden Coleman,FR,C,77,203,Average
592f2043-b55b-4e76-bfa3-12a2a8f52062,Brentley Willis,FR,SF,72,181,Good
cc726899-898d-4a73-bb3c-b3d7d081f1f6,Johnie Vincent,JH,PF,72,175,Good
33cb8b95-a5d4-4431-b06a-e741b40d198b,Gabriel Dillon,JR,C,81,222,BelowAverage
c5042986-d9f4-48a2-a454-1d1ddf08003b,Jonathan Gibson,JR,SF,76,214,Great
621bed22-45d4-476d-b42b-4b3182b03c0b,Dante Dodson,JH,PF,73,178,BelowAverage
7f57997d-3e8d-4ab9-a0c3-495e38d165b8,Rio Herman,FR,C,81,224,Average
ec898517-f077-45ff-84a2-a8aa3d3d32f3,Heriberto Berg,JH,SF,68,158,Average
4bde67d6-59e1-4197-9cf0-00fd5cacc6a5,Paxton Esquivel,FR,PF,76,213,Average
21ecba6e-a7be-4c67-8e6b-16e5f1e1aca0,Randall Rosario,SO,C,77,215,Average
ac877cc1-9f71-4415-b55b-b46230d48233,Drake English,JH,SF,77,204,Great
9e62a66e-fabc-4787-9096-ff500b95437f,Emmit Chung,JH,PF,72,192,Elite
0913d09b-fec1-441a-a1e1-c022ad567965,Fidel Hawkins,SO,C,79,231,BelowAverage
cf68b615-c6de-4a23-80e0-ead1f16e1b62,Arnulfo Brewer,SO,SF,71,185,Good
2ee01424-157b-4aae-b6e1-af7479e79ec2,Kyree Harrington,FR,PF,76,201,Poor
d7ab3425-9ff8-4996-a710-79b1aa93c41b,Darnell Beasley,JH,C,74,184,Great
75bcc441-261d-4865-8486-9b50924a78d6,Gregory Giles,JH,SF,70,181,Poor
cfff6a73-4876-442b-becc-d10a5507a971,Antonio Frazier,JH,PF,74,195,Average
07cc122e-9730-4c45-bb73-c179e9107a9b,Darius Davis,SO,C,77,218,Average
b2f496dd-c9ea-493c-ade4-15b4d9e5ffb3,Jamir Allison,FR,SF,72,190,Average
4e9f31a5-3d04-4f3d-b7ea-83f262b2594e,William Vance,FR,PF,73,184,Average
5773286a-d4d4-45da-a7d4-dd5bb7004c6c,Donny Miller,JH,C,72,181,Poor
36e6de08-2c62-4c44-b9f7-c8cdf9a38ba2,Donnell Reilly,JH,SF,75,199,Average
fdbf432c-fedb-43d1-903a-1987dd1beaf2,Marcos Daniel,JR,PF,81,225,Good
8711d7c1-0605-4a4e-ba8c-05ffa4f0ed69,Maxwell Hicks,JH,C,74,194,Average
57f541f2-cac1-4e9f-b264-8a11bafec008,Marcel Mcbride,JH,SF,74,195,Great
bd175006-6fd2-466b-8279-8ffc294bed05,Elias Hogan,JH,PF,78,215,Average
cdb6f0a1-e3ed-47d8-80a5-d8bf2adc1fc2,Reyes Roberson,JH,C,75,207,BelowAverage
10bd7bfc-048f-432f-addd-43e6e3f50d7c,Jack Dodson,SO,SF,72,185,Good
7a74deb5-8d21-4465-b785-cc58cc329167,Gilbert Hess,FR,PF,77,208,Poor
e83b8c6f-9965-4c8c-ab1c-81fc6116ac22,Jayce Lowe,JH,C,78,210,Elite
caf88f9b-9564-4b6f-8254-a3c10c6cfd92,Richie Fowler,SO,SF,73,177,Average
e4ba20a2-c443-4acb-8f87-eb80c3497bd9,Stephen Cummings,JR,PF,78,212,Average
e914622c-3814-44d5-a4fd-1b8ef62e6497,Pedro Burke,JR,C,76,213,Great
83196776-3df4-428d-8a33-3a0dc34914dd,Jeffrey Gaines,SO,SF,77,211,Poor
58907b81-8e3a-472d-bf8a-ae53db1a5784,Diego Olson,SO,PF,76,199,Good
b505fe5d-9f31-4133-9c90-e8a65288a07a,Atticus Clark,JH,C,75,190,BelowAverage
661ea2dc-0979-44f8-a95c-cd3d2aa639ad,Jimmy Mays,JH,SF,72,190,Good
d87e45c0-6294-45bc-904d-88a1d9008d3e,Jamil Humphrey,JH,PF,76,205,Poor
7e187a36-09e7-43ce-94c6-7b2adbbcf94f,Derrick Cano,JH,C,76,201,Poor
22fbf033-d376-4ecd-a71f-bed41d5e2b1b,Buster Costa,JH,SF,73,179,Average
16bef2ec-f3a2-4411-841d-4a74696a81a2,Jakobe Lu,FR,PF,72,178,BelowAverage
c23c7b32-0d7a-4694-88e5-cfcd4141fe58,Jordan Butler,JR,C,79,213,Great
909c8342-f3a4-46f8-b3e0-6569c75a46df,Carey Rodgers,JH,SF,73,180,Average
61b5fb6f-d62d-4d06-b033-1b35f66f32dc,Brent Landry,JH,PF,80,223,BelowAverage
45c28145-24f1-49ef-9f0d-346f2c56c7d8,Sage Mosley,JR,C,84,242,Average
c7e2d02c-d46e-4699-aa0f-a6c9aaa259c3,Carl Wilkinson,JH,SF,73,196,Average
aa1c0544-db25-44d8-8272-b1eb1954df46,Rhys Compton,JH,PF,71,182,Average
3bb08b84-cff7-46e3-8f7d-c9e0af0acc7a,Jamel Odom,JH,C,72,175,BelowAverage
