_id,name,first_name,last_name,team,team_id,jersey,height_in,weight_lb,year,st,ag,rt
23df2d9a-dabf-4777-96db-d7412b988291,Phillip Ali,Phillip,Ali,Morristown,69a6fcb68d2c56aa82e48a56,21,74,201,senior,46,58,43
1af6348c-f61c-4ada-b490-d6b5f7c99e7d,Hector Welke,Hector,Welke,Ocean City,69a6fcb68d2c56aa82e48a53,30,75,216,sophomore,62,41,59
efbe97ca-5e68-4151-97e2-9b2c751a3e82,Josiah Wilson,Josiah,Wilson,Four Corners,69a6fcb68d2c56aa82e48a55,1,69,163,sophomore,5,72,71
778e8352-eecb-4870-a280-a0eb90222551,Stuart Marconi,Stuart,Marconi,Lancaster,69a6fcb68d2c56aa82e48a54,9,77,225,junior,67,14,64
f3f74388-9907-4e71-becd-05992f8ce5b2,Ronnie Rozier,Ronnie,Rozier,Bentley-Truman,69a6fcb68d2c56aa82e48a52,32,77,222,sophomore,45,98,71
81ae60d5-11da-4775-b0d7-286f9e21c7ed,Charles Black,Charles,Black,Four Corners,69a6fcb68d2c56aa82e48a55,10,73,188,junior,76,65,68
c88c3ece-1dc8-4f53-8577-2c9494d2a503,Jesse Jamison,Jesse,Jamison,Morristown,69a6fcb68d2c56aa82e48a56,40,76,228,junior,69,27,61
a699d851-8d4e-4987-936d-293b04a7b1f8,Benny Pena,Benny,Pena,Lancaster,69a6fcb68d2c56aa82e48a54,14,72,182,senior,35,70,61
65f42052-4920-43e4-b39c-0066a20d2cbf,AC Buford,AC,Buford,Little York,69a6fcb68d2c56aa82e48a58,1,75,199,junior,36,24,59
068c0b8a-c772-4542-a6ec-0cd6f21329ba,Porter DeGroot,Porter,DeGroot,Morristown,69a6fcb68d2c56aa82e48a56,9,75,209,junior,51,15,61
d53139da-06cd-4e4b-8ed4-a107fbb58bd5,Delmont Braggs,Delmont,Braggs,Bentley-Truman,69a6fcb68d2c56aa82e48a52,11,73,171,freshman,13,42,36
042c7d34-fc6b-4647-8f21-e97bbd9249a3,Malcolm Bleeker,Malcolm,Bleeker,Four Corners,69a6fcb68d2c56aa82e48a55,31,72,180,senior,33,65,40
b2a51b35-fec8-4ba0-9155-9a0008b8a224,Lucky Forte,Lucky,Forte,Xavien,69a6fcb68d2c56aa82e48a57,4,66,150,freshman,4,37,43
d56e27a3-92ef-4c0a-a882-6b158131331e,Dan Olson,Dan,Olson,Four Corners,69a6fcb68d2c56aa82e48a55,3,66,149,freshman,5,31,55
37688b1e-f172-4f52-b57a-4b0c3f4c03e2,Monroe Quinto,Monroe,Quinto,Ocean City,69a6fcb68d2c56aa82e48a53,52,76,213,junior,51,13,48
48313d96-b5dc-4f35-bec0-3ff0356d9f0b,Granville D'Amore,Granville,D'Amore,Ocean City,69a6fcb68d2c56aa82e48a53,40,75,177,sophomore,10,13,41
131abe35-8f84-41ce-ba4c-154556289954,Wilbert Struthers,Wilbert,Struthers,Lancaster,69a6fcb68d2c56aa82e48a54,31,75,221,senior,68,94,88
a3269f39-4acb-4708-a3f3-48e56756c35d,Antoine Ellington,Antoine,Ellington,Xavien,69a6fcb68d2c56aa82e48a57,10,75,210,freshman,24,15,50
dfc97213-ecf1-418e-b01c-0d5043992c37,Mario Braxton,Mario,Braxton,Xavien,69a6fcb68d2c56aa82e48a57,50,78,239,freshman,41,13,51
f23fae35-ea45-44fe-a698-a06580707783,Freddie Anderson,Freddie,Anderson,Bentley-Truman,69a6fcb68d2c56aa82e48a52,13,74,201,senior,55,25,57
0df15c02-a4d1-437b-b102-45f42b25e50b,Cedric Buckles,Cedric,Buckles,Lancaster,69a6fcb68d2c56aa82e48a54,43,76,232,junior,83,29,76
f196e4a5-2ab1-41cc-8e81-e2a6ea5667cb,Rupert Holliday,Rupert,Holliday,Ocean City,69a6fcb68d2c56aa82e48a53,20,72,180,senior,24,54,78
eba936b9-f30b-4fe1-b3ee-402cb9be9d6f,Alden Dysart,Alden,Dysart,Xavien,69a6fcb68d2c56aa82e48a57,44,74,185,freshman,14,31,37
27ba5b79-8bf4-4240-9c5b-7afeb3e92965,Ethen Rojas,Ethen,Rojas,Crickstown,69a6fcb68d2c56aa82e48a5a,5,67,162,senior,29,27,28
2d4fd983-68d5-45d9-9af3-d1688fcadf15,Raphael Beck,Raphael,Beck,Crickstown,69a6fcb68d2c56aa82e48a5a,21,69,172,junior,17,46,43
d093e27a-81a8-4cce-b1c2-51e93cd6f68e,Numbers Eichner,Numbers,Eichner,Crickstown,69a6fcb68d2c56aa82e48a5a,23,75,212,senior,36,48,62
cc243642-eff7-433b-90f4-1258e778765a,Maxwell Morris,Maxwell,Morris,Crickstown,69a6fcb68d2c56aa82e48a5a,6,75,199,junior,69,37,56
b450cdf3-a04f-45ae-bcee-34484095664f,Chad Anderson,Chad,Anderson,Crickstown,69a6fcb68d2c56aa82e48a5a,27,72,190,senior,33,34,41
84369e66-6eec-4602-8292-d2d908f75a01,Ronan Spence,Ronan,Spence,Crickstown,69a6fcb68d2c56aa82e48a5a,8,76,212,junior,40,42,58
717f7d77-277e-4a58-8f1b-70d1837e3925,Andre Watters,Andre,Watters,Crickstown,69a6fcb68d2c56aa82e48a5a,31,68,162,senior,11,8,28
1ed3f0a1-6620-415a-8765-a8ddee34708f,Donte Koh,Donte,Koh,Crickstown,69a6fcb68d2c56aa82e48a5a,40,75,202,junior,16,52,48
bcc1063d-7149-4e3b-8e98-4b8e72a6a54e,Alvaro Callahan,Alvaro,Callahan,Crickstown,69a6fcb68d2c56aa82e48a5a,55,70,181,freshman,71,59,51
5ef6fd56-676a-4f08-a4ba-095ad39c6527,Jeremy Jones,Jeremy,Jones,Crickstown,69a6fcb68d2c56aa82e48a5a,1,71,196,sophomore,25,17,34
fad23ee6-01ec-42f3-9b4b-44f65b4f9acf,Cruz Rhodes,Cruz,Rhodes,Crickstown,69a6fcb68d2c56aa82e48a5a,2,69,170,senior,7,14,37
542e19ec-dd41-45fa-9e65-ac8ebcd13eb2,Damion Rand,Damion,Rand,Crickstown,69a6fcb68d2c56aa82e48a5a,9,72,200,sophomore,19,55,48
548d090e-16f2-4147-91d4-fbebb4226789,Jayson Ketchum,Jayson,Ketchum,Cagers World,69a6fcb68d2c56aa82e48a5b,2,72,188,freshman,1,9,22
a47cc97e-470d-4f3f-be8e-1165b7cd7938,Zachary Wood,Zachary,Wood,Cagers World,69a6fcb68d2c56aa82e48a5b,17,73,188,senior,40,40,45
fbbc99c3-a6e5-4498-8f55-cd0774d74944,Bernard Hope,Bernard,Hope,Cagers World,69a6fcb68d2c56aa82e48a5b,24,69,170,freshman,10,61,37
45fee34b-726f-4679-b498-a7912a2ea73b,Randy Riordan,Randy,Riordan,Cagers World,69a6fcb68d2c56aa82e48a5b,9,77,222,sophomore,73,72,66
d31f1185-45c6-4d41-84fa-0b5925b19dcd,Byron Cotner,Byron,Cotner,Cagers World,69a6fcb68d2c56aa82e48a5b,33,73,197,sophomore,52,58,52
7d392290-3ba4-41aa-ad27-3407fe24d909,Josh Goetzinger,Josh,Goetzinger,Cagers World,69a6fcb68d2c56aa82e48a5b,30,71,182,senior,49,44,61
aab419c2-9a06-477b-9325-4fed9ad359e5,Reynaldo Curry,Reynaldo,Curry,Cagers World,69a6fcb68d2c56aa82e48a5b,5,66,161,junior,13,24,48
fa6e6da6-d53b-481f-84bf-a81170f58fbf,Charles Vaughan,Charles,Vaughan,Cagers World,69a6fcb68d2c56aa82e48a5b,23,79,236,sophomore,57,61,59
d0b1e262-4680-41bf-ae6e-a56ca8ed1d07,Riley Carroll,Riley,Carroll,Cagers World,69a6fcb68d2c56aa82e48a5b,22,67,160,senior,15,9,18
cf7d1922-f13e-4014-b97f-ad598d7d1ac4,Stacy Riggs,Stacy,Riggs,Cagers World,69a6fcb68d2c56aa82e48a5b,10,72,188,freshman,29,30,37
554ac0e0-4a9b-4da8-8dc5-70371136f325,Cesar Rossi,Cesar,Rossi,Cagers World,69a6fcb68d2c56aa82e48a5b,55,84,255,junior,10,7,44
2b7b22c7-6c06-4fb4-8992-96c3dcb8b0ab,Justin Branch,Justin,Branch,Cagers World,69a6fcb68d2c56aa82e48a5b,20,76,225,senior,54,53,50
a4db3728-00a8-4329-82e9-35818bb542af,Elijah Stevens,Elijah,Stevens,Nickel Beach,69a6fcb68d2c56aa82e48a5c,6,75,198,junior,52,50,49
1453f115-5151-4faa-836f-0ed96fa61928,Corky Hendrickson,Corky,Hendrickson,Nickel Beach,69a6fcb68d2c56aa82e48a5c,23,71,192,freshman,26,27,50
0b71104c-4c5d-47f2-bfe4-d478721d7f36,Andreas Delgado,Andreas,Delgado,Nickel Beach,69a6fcb68d2c56aa82e48a5c,21,73,211,senior,46,54,56
a4886f8a-e35d-4805-9a8e-2325d829cf6a,Lester O'Neal,Lester,O'Neal,Nickel Beach,69a6fcb68d2c56aa82e48a5c,43,79,229,senior,32,70,73
61c1ec16-abc9-46e7-8644-4bff45365f07,Willie Batchelor,Willie,Batchelor,Nickel Beach,69a6fcb68d2c56aa82e48a5c,15,71,190,senior,30,35,40
42ad09db-ec69-4369-b8b6-d173f7e6da00,Smith Patterson,Smith,Patterson,Nickel Beach,69a6fcb68d2c56aa82e48a5c,11,71,188,senior,66,36,56
6856e726-98c4-4cd1-a3b3-c7ac414e6f8e,Arakbu Eddison,Arakbu,Eddison,Nickel Beach,69a6fcb68d2c56aa82e48a5c,3,70,173,sophomore,3,6,33
4306819d-fd67-4a50-b128-97b99971bdeb,Tucker Buckley,Tucker,Buckley,Nickel Beach,69a6fcb68d2c56aa82e48a5c,7,69,173,sophomore,63,17,47
d7975d7d-4687-4a2b-9d09-ed0bf01dea01,Yadiel Terra,Yadiel,Terra,Nickel Beach,69a6fcb68d2c56aa82e48a5c,32,71,200,freshman,62,89,71
f3281d82-23ff-4d14-acb1-5bb5d40c456f,Carroll Heckart,Carroll,Heckart,Nickel Beach,69a6fcb68d2c56aa82e48a5c,50,71,194,junior,15,4,34
1ea1b942-2c12-4ad4-acfd-43c94e6506a9,Brevin Jones-Whiteside,Brevin,Jones-Whiteside,Nickel Beach,69a6fcb68d2c56aa82e48a5c,12,69,163,freshman,12,19,25
35718755-ed87-42f5-8f9e-dc613b5df8ab,BJ Stark,BJ,Stark,Nickel Beach,69a6fcb68d2c56aa82e48a5c,4,72,198,junior,61,57,59
86b911a5-c022-4041-aefd-175a0e1f2acf,Stanley Keith,Stanley,Keith,Chapel Hill,69a6fcb68d2c56aa82e48a5d,4,73,206,sophomore,70,73,58
da3e79a7-5fec-46d4-b847-bdf2870e1fe8,Otis Nixon,Otis,Nixon,Chapel Hill,69a6fcb68d2c56aa82e48a5d,17,68,159,junior,33,40,51
eb149eb8-bb89-4d90-8779-e02f1bd6d6d5,Eugene Johnston,Eugene,Johnston,Chapel Hill,69a6fcb68d2c56aa82e48a5d,46,79,238,freshman,80,47,79
e297fdab-a3da-45d0-af00-1742e371915d,Dale Butler,Dale,Butler,Chapel Hill,69a6fcb68d2c56aa82e48a5d,30,68,175,sophomore,46,10,39
99f962c5-3624-4082-a420-916f7999241f,Colt Robles,Colt,Robles,Chapel Hill,69a6fcb68d2c56aa82e48a5d,27,70,167,sophomore,92,28,67
05f93933-514a-4a4e-805e-c76ba8c12dfa,Darren Parrish,Darren,Parrish,Chapel Hill,69a6fcb68d2c56aa82e48a5d,55,73,200,senior,21,33,46
f8b7f7b5-bd62-420a-a31e-08ae8c95fb93,Brice Monroe Jr,Brice,Monroe Jr,Chapel Hill,69a6fcb68d2c56aa82e48a5d,11,73,192,freshman,80,62,63
ac26dbe2-e590-49aa-9bde-745584e548f9,Landon Turley,Landon,Turley,Chapel Hill,69a6fcb68d2c56aa82e48a5d,10,70,167,junior,63,82,59
c642adfa-692a-4f3f-8e3a-6401543c7a45,Dayton Weber,Dayton,Weber,Chapel Hill,69a6fcb68d2c56aa82e48a5d,34,70,169,sophomore,38,27,57
5a27f1b1-ba4a-417e-bd83-45abd8ef5829,Nathan Randolph,Nathan,Randolph,Chapel Hill,69a6fcb68d2c56aa82e48a5d,25,72,200,junior,40,17,48
d8b1e862-fbee-44f7-b8b9-160531c0b8df,Thanh Small,Thanh,Small,Chapel Hill,69a6fcb68d2c56aa82e48a5d,32,77,235,freshman,40,47,58
d5e6f137-86ff-4c0b-9e5b-5afd094826d5,Shorty Holmstrom,Shorty,Holmstrom,Chapel Hill,69a6fcb68d2c56aa82e48a5d,31,74,205,senior,70,60,56
454ba22f-64b7-46bb-81f3-db24255bf86a,Coby Cantu,Coby,Cantu,Appalachia,69a6fcb68d2c56aa82e48a5e,49,78,235,sophomore,44,69,59
97499e54-2a34-4bc3-819b-54f814d8faed,Hog Dempsey,Hog,Dempsey,Appalachia,69a6fcb68d2c56aa82e48a5e,17,83,258,senior,91,50,78
1e0bff47-584a-4bd4-9e42-e0747334af05,Gerald Lamar,Gerald,Lamar,Appalachia,69a6fcb68d2c56aa82e48a5e,2,72,204,senior,51,58,48
3c54acfe-3734-4fc7-a93d-f119b7b02a8f,Marcelo Villegas,Marcelo,Villegas,Appalachia,69a6fcb68d2c56aa82e48a5e,50,70,175,junior,14,9,35
818f2f6e-b5cb-4b16-87a2-558165d1aaa6,Bradley Anderson,Bradley,Anderson,Appalachia,69a6fcb68d2c56aa82e48a5e,18,76,225,senior,12,33,48
7cdcfe0e-f1e0-42b4-ae58-d7d1e7103657,Uriah Roca,Uriah,Roca,Appalachia,69a6fcb68d2c56aa82e48a5e,4,68,159,sophomore,17,42,36
9e1742a8-7df0-435a-968b-eeb5e47cef25,Devan Simpson,Devan,Simpson,Appalachia,69a6fcb68d2c56aa82e48a5e,44,69,180,junior,24,38,29
b2ad3654-b5cc-420c-b2d8-4b15c4d572ab,Lawerence Riddle,Lawerence,Riddle,Appalachia,69a6fcb68d2c56aa82e48a5e,35,79,247,sophomore,29,78,53
43d8db11-939d-4072-8a36-f4f7b7e01405,Jean Holland,Jean,Holland,Appalachia,69a6fcb68d2c56aa82e48a5e,6,76,217,sophomore,28,21,40
8bc852b1-a741-4b2e-8a2a-0a0d880f4c63,Sonny Johnson,Sonny,Johnson,Appalachia,69a6fcb68d2c56aa82e48a5e,1,71,194,sophomore,14,11,40
867bd500-e019-4d1b-ad28-6fa0994f1db8,Thomas Billings,Thomas,Billings,Appalachia,69a6fcb68d2c56aa82e48a5e,23,77,220,senior,12,26,45
57635d76-5528-45b7-935f-b51d048b1cb8,Carlton Shaw,Carlton,Shaw,Appalachia,69a6fcb68d2c56aa82e48a5e,25,78,242,senior,34,70,59
37d55ad4-3335-4f44-8976-bdf5ec244dda,Walker Ansley,Walker,Ansley,Casino Row,69a6fcb68d2c56aa82e48a5f,43,83,261,freshman,74,92,86
13986249-c802-4df8-a6f0-75d608812f54,Ezra Cole,Ezra,Cole,Casino Row,69a6fcb68d2c56aa82e48a5f,44,71,183,sophomore,40,40,45
23ce516c-43a4-44e5-afe7-c3e8cf4dcaca,Jewell Green,Jewell,Green,Casino Row,69a6fcb68d2c56aa82e48a5f,5,65,135,senior,6,26,29
b8baa31e-a4a9-4f45-9392-87fd70a5fdb7,Tyrese Orozco,Tyrese,Orozco,Casino Row,69a6fcb68d2c56aa82e48a5f,1,75,207,freshman,84,65,75
